"yy","gr_id","ez_id","flag_id","in_arch","sum_alb_c","sum_bet_c","sum_skj_c","sum_yft_c"
2000,"G","I6","JP",FALSE,67,1,2,9
2000,"G","VN","VN",FALSE,0,315,8164,522
2000,"H","ID","ID",FALSE,0,65.6,0,2057
2000,"H","ID","ID",TRUE,0,262.4,0,8228
2000,"H","PH","PH",FALSE,0,38.658,0,716.6132
2000,"H","PH","PH",TRUE,0,471.342,0,8737.3868
2000,"K","PH","PH",TRUE,0,3951,28887,41991
2000,"L","AS","US",FALSE,626,21,12,86
2000,"L","AU","AU",FALSE,373.963635,751.578817,15,1784.056103
2000,"L","CN","JP",FALSE,1.120031,0.148029,0,0.602002
2000,"L","FJ","FJ",FALSE,4222.275942,522.651921,2.592744,1837.191011
2000,"L","FJ","FJ",TRUE,663.21608,82.095809,0.407256,288.577686
2000,"L","FJ","TW",FALSE,280.451606,14.663288,1.469702,99.083106
2000,"L","FJ","TW",TRUE,176.033394,4.372712,0.364298,31.676894
2000,"L","FJ","VU",FALSE,8.961878,0.021168,0,0.341603
2000,"L","FM","BZ",FALSE,0,8.838,0,32.095
2000,"L","FM","CN",FALSE,0.86,561.544,0,481.871
2000,"L","FM","FM",FALSE,3.450972,861.439397,0,475.897693
2000,"L","FM","JP",FALSE,132.150954,3713.35503,0,2176.164021
2000,"L","FM","PW",FALSE,2,36.127025,0,8.941764
2000,"L","FM","TW",FALSE,1.504,698.31,0,662.484
2000,"L","GL","JP",FALSE,19.031954,632.17395,0,1751.914018
2000,"L","GL","KR",FALSE,4.881,190.662,0,278.483
2000,"L","GL","TW",FALSE,0.815,2.49,0,16.225
2000,"L","H4","KR",FALSE,10.266,171.889,0,212.871
2000,"L","H5","CN",FALSE,0.152,1.865,0,1.394
2000,"L","H5","JP",FALSE,76.628971,209.836433,0,455.524225
2000,"L","H5","KR",FALSE,23.055,279.054,0,199.121
2000,"L","H5","TW",FALSE,35.812,36.822,0,22.902
2000,"L","HW","US",FALSE,164.061195,862.865684,28.325252,187.08932
2000,"L","I1","BZ",FALSE,0,1.86,0,0.625
2000,"L","I1","CN",FALSE,0.115,9.45,0,4.268
2000,"L","I1","FM",FALSE,1.549028,17.495165,0,12.749725
2000,"L","I1","JP",FALSE,25.162935,2787.257859,0,1941.164696
2000,"L","I1","PW",FALSE,0,14.155513,0,9.803594
2000,"L","I1","TW",FALSE,0,4093.286451,2830.5417,8896.454
2000,"L","I2","CN",FALSE,0,19.211,0,17.863
2000,"L","I2","FJ",FALSE,4.994588,1.401679,0,1.019672
2000,"L","I2","FM",FALSE,0,3.834001,0,3.389082
2000,"L","I2","JP",FALSE,345.405181,959.056716,0,2434.474702
2000,"L","I2","KR",FALSE,4.078,82.408,0,71.45
2000,"L","I2","SB",FALSE,3.151163,11.806344,0,25.807782
2000,"L","I2","TW",FALSE,359.014,99.022,0,160.077
2000,"L","I3","JP",FALSE,5368.1868,1116.603399,0,2229.395984
2000,"L","I3","TW",FALSE,0.09,1754.265622,1213.0893,3812.766
2000,"L","I4","BZ",FALSE,46.5765,0.1725,0,2.0715
2000,"L","I4","CN",FALSE,0,273.261,0,711.4305
2000,"L","I4","JP",FALSE,196.688394,5163.972796,0,6016.949763
2000,"L","I4","KR",FALSE,246.693496,8099.0335,2.5,4248.466
2000,"L","I4","TW",FALSE,0,511.734006,132.2675,597.293008
2000,"L","I4","US",FALSE,0.406267,9.409871,0.171646,2.66626
2000,"L","I5","BZ",FALSE,46.5765,0.1725,0,2.0715
2000,"L","I5","CN",FALSE,0,273.261,0,711.4305
2000,"L","I5","JP",FALSE,20.28821,3460.840577,0,1860.602549
2000,"L","I5","KR",FALSE,246.693496,8099.0335,2.5,4248.466
2000,"L","I5","PF",FALSE,38.253845,4.981302,0.332447,12.743592
