"gr_id","flag_id","fleet_id","yy","mm","mondate","dup_pac","ocean_id","vessel","alb_c","bet_c","skj_c","yft_c","pbf_c","oth_c","bum_c","blm_c","mls_c","swo_c","sfa_c","fal_c","ocs_c","mak_c","bsh_c","thr_c","por_c","ham_c","rhn_c","skj_lo","yft_lo","bet_lo","skj_hi","yft_hi","bet_hi","skj_un","yft_un","bet_un"
"L","JP","DW",1950,1,1950-01-01,FALSE,"WX",0,16713,17463,0,12575,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","US","HW",1950,1,1950-01-01,FALSE,"WX",76,27,781,34,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","ID","  ",1950,1,1950-01-01,FALSE,"WX",0,0,0,2645,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","PH","  ",1950,1,1950-01-01,FALSE,"WX",0,0,0,2782,2314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P","JP","DW",1950,1,1950-01-01,FALSE,"WX",0,12863,646,33386,799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","JP","DW",1951,1,1951-01-01,FALSE,"WX",0,11384,11895,0,8566,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","US","HW",1951,1,1951-01-01,FALSE,"WX",67,24,913,12,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","ID","  ",1951,1,1951-01-01,FALSE,"WX",0,0,0,2854,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","JP","  ",1951,1,1951-01-01,FALSE,"WX",0,0,0,1676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","PH","  ",1951,1,1951-01-01,FALSE,"WX",0,0,0,2927,2363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P","JP","DW",1951,1,1951-01-01,FALSE,"WX",0,14500,729,96214,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S","JP","CS",1951,1,1951-01-01,FALSE,"WX",0,0,1095,1748,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1748,938,1095,1748,938,1095
"L","JP","CS",1952,1,1952-01-01,FALSE,"WX",0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","JP","DW",1952,1,1952-01-01,FALSE,"WX",0,22340,23342,0,16809,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","US","HW",1952,1,1952-01-01,FALSE,"WX",56,46,1013,54,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","ID","  ",1952,1,1952-01-01,FALSE,"WX",0,0,0,3079,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","JP","  ",1952,1,1952-01-01,FALSE,"WX",0,237,0,2614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","PH","  ",1952,1,1952-01-01,FALSE,"WX",0,0,0,3080,2414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P","JP","DW",1952,1,1952-01-01,FALSE,"WX",0,41787,2100,78518,2595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S","JP","CS",1952,1,1952-01-01,FALSE,"WX",0,154,1039,3716,2565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3716,2565,1039,3716,2565,1039
"L","JP","CS",1953,1,1953-01-01,FALSE,"WX",669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","JP","DW",1953,1,1953-01-01,FALSE,"WX",1064,23604,21783,0,22926,0,0,0,0,0,0,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","US","HW",1953,1,1953-01-01,FALSE,"WX",58,23,1242,1,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
