gear,yy,flag,fleet,ocean,alb_mt,bet_mt,skj_mt,yft_mt,bum_mt,mls_mt,swo_mt,fal_mt,ocs_mt,mak_mt,bsh_mt
L,2014,CK,  ,SP,1186,184,137,504,0,19,14,0,0,0,0
L,2014,CK,  ,SX,1186,184,137,504,0,19,14,0,0,0,0
L,2014,CK,  ,WP,1186,184,137,504,0,19,14,0,0,0,0
L,2014,CK,  ,WX,1186,184,137,504,30,19,14,0.185,0,0.04,1
T,2014,CK,  ,SP,42,0,0,0,0,0,0,0,0,0,0
T,2014,CK,  ,SX,21,0,0,0,0,0,0,0,0,0,0
T,2014,CK,  ,WP,21,0,0,0,0,0,0,0,0,0,0
T,2014,CK,  ,WX,21,0,0,0,0,0,0,0,0,0,0
L,2015,CK,  ,SP,1167,151,86,339,0,19,18,0,0,0,0
L,2015,CK,  ,SX,1167,151,86,339,0,19,18,0,0,0,0
L,2015,CK,  ,WP,1167,151,86,339,0,19,18,0,0,0,0
L,2015,CK,  ,WX,1167,151,86,339,36,19,18,0,0,0,0
T,2015,CK,  ,SP,21,0,0,0,0,0,0,0,0,0,0
T,2015,CK,  ,SX,21,0,0,0,0,0,0,0,0,0,0
T,2015,CK,  ,WP,21,0,0,0,0,0,0,0,0,0,0
T,2015,CK,  ,WX,21,0,0,0,0,0,0,0,0,0,0
L,2016,CK,  ,SP,1353,183,38,315,0,19,25,0,0,0,0
L,2016,CK,  ,SX,1353,183,38,315,0,19,25,0,0,0,0
L,2016,CK,  ,WP,1353,183,38,315,0,19,25,0,0,0,0
L,2016,CK,  ,WX,1353,183,38,315,43,19,25,1,0,0,0
T,2016,CK,  ,SP,21,0,0,0,0,0,0,0,0,0,0
T,2016,CK,  ,SX,21,0,0,0,0,0,0,0,0,0,0
T,2016,CK,  ,WP,21,0,0,0,0,0,0,0,0,0,0
T,2016,CK,  ,WX,21,0,0,0,0,0,0,0,0,0,0
L,2017,CK,  ,SP,2567,298,67,610,0,24,56,0,0,0,0
L,2017,CK,  ,SX,2567,298,67,610,0,24,56,0,0,0,0
L,2017,CK,  ,WP,2567,298,67,610,0,24,56,0,0,0,0
L,2017,CK,  ,WX,2567,298,67,610,89,24,56,1,0,2,10
T,2017,CK,  ,SP,0,0,4,92,0,0,0,0,0,0,0
T,2017,CK,  ,SX,0,0,4,92,0,0,0,0,0,0,0
T,2017,CK,  ,WP,0,0,4,92,0,0,0,0,0,0,0
T,2017,CK,  ,WX,0,0,4,92,0,0,0,0,0,0,0
L,2018,CK,  ,SP,3087,197,75,532,0,9,44,0,0,0,0
L,2018,CK,  ,SX,3087,197,75,532,0,9,44,0,0,0,0
L,2018,CK,  ,WP,3087,197,75,532,0,9,44,0,0,0,0
L,2018,CK,  ,WX,3087,197,75,532,108,9,44,2.723,0,0.117,3.365
T,2018,CK,  ,SP,1,1,5,87,0,0,0,0,0,0,0
T,2018,CK,  ,SX,1,1,5,87,0,0,0,0,0,0,0
T,2018,CK,  ,WP,1,1,5,87,0,0,0,0,0,0,0
T,2018,CK,  ,WX,1,1,5,87,0,0,0,0,0,0,0
L,2019,CK,  ,SP,2277,124,128,403,0,20,30,0,0,0,0
L,2019,CK,  ,SX,2277,124,128,403,0,20,30,0,0,0,0
L,2019,CK,  ,WP,2277,124,128,403,0,20,30,0,0,0,0
L,2019,CK,  ,WX,2277,124,128,403,63,20,30,1.695,56.553,1.412,53.981
S,2019,CK,  ,WP,0,332,1715,121,0,0,0,0,0,0,0
S,2019,CK,  ,WX,0,332,1715,121,0,0,0,0.016,0,0,0
