gear,yy,flag,fleet,ocean,alb_mt,bet_mt,skj_mt,yft_mt,bum_mt,mls_mt,swo_mt,fal_mt,ocs_mt,mak_mt,bsh_mt
L,2014,FJ,  ,SP,7622,1698,0,4343,0,51,167,0,0,0,0
L,2014,FJ,  ,SX,7622,1698,0,4343,0,51,167,0,0,0,0
L,2014,FJ,  ,WP,7622,1698,0,4343,0,51,167,0,0,0,0
L,2014,FJ,  ,WX,7622,1698,0,4343,271,51,167,1,1,0,11
L,2015,FJ,  ,SP,7855,1184,399,3647,0,36,122,0,0,0,0
L,2015,FJ,  ,SX,7855,1184,399,3647,0,36,122,0,0,0,0
L,2015,FJ,  ,WP,7855,1184,399,3647,0,36,122,0,0,0,0
L,2015,FJ,  ,WX,7855,1184,399,3647,155,36,122,0,0,0,16
L,2016,FJ,  ,SP,7905,1396,254,4701,0,38,141,0,0,0,0
L,2016,FJ,  ,SX,7905,1396,254,4701,0,38,141,0,0,0,0
L,2016,FJ,  ,WP,7905,1396,254,4701,0,38,141,0,0,0,0
L,2016,FJ,  ,WX,7905,1396,254,4701,192,38,141,101,14,55,87
L,2017,FJ,  ,SP,10552,1108,499,4986,0,92,117,0,0,0,0
L,2017,FJ,  ,SX,10552,1108,499,4986,0,92,117,0,0,0,0
L,2017,FJ,  ,WP,10552,1108,499,4986,0,92,117,0,0,0,0
L,2017,FJ,  ,WX,10552,1108,499,4986,97,92,117,105,10,18,60
L,2018,FJ,  ,SP,9624,891,439,2738,0,32,105,0,0,0,0
L,2018,FJ,  ,SX,9624,891,439,2738,0,32,105,0,0,0,0
L,2018,FJ,  ,WP,9624,891,439,2738,0,32,105,0,0,0,0
L,2018,FJ,  ,WX,9624,891,439,2738,159,32,105,22.483,14.312,19.72,49.286
L,2019,FJ,  ,SP,9072,1182,334,3833,0,34,118,0,0,0,0
L,2019,FJ,  ,SX,9072,1182,334,3833,0,34,118,0,0,0,0
L,2019,FJ,  ,WP,9072,1182,334,3833,0,34,118,0,0,0,0
L,2019,FJ,  ,WX,9072,1182,334,3833,254,34,118,50.756,20.277,17.208,88.926
L,2020,FJ,  ,SP,6664,736,434,4564,0,22,106,0,0,0,0
L,2020,FJ,  ,SX,6664,736,434,4564,0,22,106,0,0,0,0
L,2020,FJ,  ,WP,6664,736,434,4564,0,22,106,0,0,0,0
L,2020,FJ,  ,WX,6664,736,434,4564,159,22,106,72.722,25.465,14.423,82.923
T,2020,FJ,  ,SP,0,1,2,37,0,0,0,0,0,0,0
T,2020,FJ,  ,SX,0,1,2,37,0,0,0,0,0,0,0
T,2020,FJ,  ,WP,0,1,2,37,0,0,0,0,0,0,0
T,2020,FJ,  ,WX,0,1,2,37,0,0,0,0,0,0,0
L,2021,FJ,  ,SP,6438,482,234,2662,0,24,62,0,0,0,0
L,2021,FJ,  ,SX,6438,482,234,2662,0,24,62,0,0,0,0
L,2021,FJ,  ,WP,6438,482,234,2662,0,24,62,0,0,0,0
L,2021,FJ,  ,WX,6438,482,234,2662,154,24,62,113.985,150.281,179.439,906.626
T,2021,FJ,  ,SP,0,0,14,55,0,0,0,0,0,0,0
T,2021,FJ,  ,SX,0,0,14,55,0,0,0,0,0,0,0
T,2021,FJ,  ,WP,0,0,14,55,0,0,0,0,0,0,0
T,2021,FJ,  ,WX,0,0,14,55,0,0,0,0,0,0,0
L,2022,FJ,  ,SP,7418,426,407,2127,0,12,41,0,0,0,0
L,2022,FJ,  ,SX,7418,426,407,2127,0,12,41,0,0,0,0
L,2022,FJ,  ,WP,7418,426,407,2127,0,12,41,0,0,0,0
L,2022,FJ,  ,WX,7418,426,407,2127,113,12,41,19.407,92.583,69.418,1242.532
T,2022,FJ,  ,SP,0,0,2,52,0,0,0,0,0,0,0
T,2022,FJ,  ,SX,0,0,2,52,0,0,0,0,0,0,0
T,2022,FJ,  ,WP,0,0,2,52,0,0,0,0,0,0,0
T,2022,FJ,  ,WX,0,0,2,52,0,0,0,0,0,0,0
