"Summary description","Albacore","Bigeye","Skipjack","Yellowfin"
"WCPFC-CA catch","64480","146560","1806281","719736"
"5-year WCPFC-CA catch trend","Stable","Decreasing","Stable","Increasing"
"WCPFC-CA Longline catch","60545","60872","3497","87227"
"WCPFC-CA Purse seine catch","6","65514","1475630","381359"
"WCPFC-CA Pole and line catch","22","2285","160419","23208"
"WCPFC-CA Other catch","3906","17889","166735","227942"
"","","","",""
"","","","",""
"Catch in FJ model regions","6773","2733","530073","18807"
"Percent of WCPFC-CA catch in FJ model regions","10.5","1.9","29.3","2.6"
"Catch in FJ EEZ","5316","380","295","2224"
"Percent of WCPFC-CA catch taken in FJ EEZ","8.2","0.3","0","0.3"
"Catch by FJ flagged in WCPFC-CA","7843","744","373","3214"
"Percent of WCPFC-CA catch by FJ flagged vessels","12.2","0.5","0","0.4"
