"Summary description","Albacore","Bigeye","Skipjack","Yellowfin"
"WCPFC-CA catch","64480","146560","1806281","719736"
"5-year WCPFC-CA catch trend","Stable","Decreasing","Stable","Increasing"
"WCPFC-CA Longline catch","60545","60872","3497","87227"
"WCPFC-CA Purse seine catch","6","65514","1475630","381359"
"WCPFC-CA Pole and line catch","22","2285","160419","23208"
"WCPFC-CA Other catch","3906","17889","166735","227942"
"","","","",""
"","","","",""
"Catch in FM model regions","87104","71957","1198633","684477"
"Percent of WCPFC-CA catch in FM model regions","135.1","49.1","66.4","95.1"
"Catch in FM EEZ","222","7788","159706","40777"
"Percent of WCPFC-CA catch taken in FM EEZ","0.3","5.3","8.8","5.7"
"Percent of Catch in FM model regions taken in FM EEZ","0.3","10.8","13.3","6"
"Catch by FM flagged in WCPFC-CA","1443","7813","121762","29229"
"Percent of WCPFC-CA catch by FM flagged vessels","2.2","5.3","6.7","4.1"
