"year","area","med_dep","LL_dep","UL_dep","fcl_reg"
1952,"1",0.990756912795217,0.989559165215915,0.99184441222023,"focal"
1952,"2",0.996086739715409,0.99564390675201,0.997016003170204,"other"
1952,"3",0.99527159555241,0.994966755223928,0.995783876878012,"focal"
1952,"4",0.997770151596461,0.997654694975454,0.997964578227965,"other"
1952,"5",0.999967353761151,0.999963751173532,0.999970695875999,"other"
1952,"6",0.999947432055851,0.9999113555679,1,"other"
1952,"7",0.997101920563393,0.996495164286945,0.997486773653793,"focal"
1952,"8",0.998007455431626,0.997797187701087,0.998185179620295,"focal"
1952,"9",1,1,1,"other"
1953,"1",0.966732321235889,0.962774536233654,0.970649831478684,"focal"
1953,"2",0.983860277505451,0.982368333479064,0.987359528080217,"other"
1953,"3",0.986863051774285,0.986105526779601,0.9880374315337,"focal"
1953,"4",0.983597628003382,0.982657989884452,0.984613083731527,"other"
1953,"5",0.998856228248497,0.998785345479454,0.999038453649706,"other"
1953,"6",0.997393526280735,0.996819694293422,1,"other"
1953,"7",0.991368513497184,0.98932228504418,0.992642749657842,"focal"
1953,"8",0.987692570713284,0.986259613634895,0.988919888064537,"focal"
1953,"9",0.999939285959138,0.999933339459716,0.999946748243784,"other"
1954,"1",0.949443253414271,0.943482510708858,0.954715375871104,"focal"
1954,"2",0.979697633608455,0.978653534487997,0.983646514530637,"other"
1954,"3",0.974991906508199,0.973869472127352,0.976921152740449,"focal"
1954,"4",0.978654820130008,0.976371110392506,0.980228763985993,"other"
1954,"5",0.993795318472072,0.993342439834907,0.994725197405074,"other"
1954,"6",0.987970073550971,0.985819857564935,0.999877235227288,"other"
1954,"7",0.982550681930231,0.978951576827519,0.985621121724717,"focal"
1954,"8",0.97706995001159,0.974774536292699,0.979103341112828,"focal"
1954,"9",0.999014166645446,0.998921248310882,0.999124448996669,"other"
1955,"1",0.941396577877617,0.933526462021308,0.944155247513196,"focal"
1955,"2",0.973224088090393,0.97200249598228,0.977757002264021,"other"
1955,"3",0.970494232558843,0.969247402334403,0.972270607241223,"focal"
1955,"4",0.977352093819869,0.974787105463026,0.978925852368024,"other"
1955,"5",0.98405652326255,0.982782871208019,0.986212447046133,"other"
1955,"6",0.983373501551582,0.981098841499702,0.998386173519113,"other"
1955,"7",0.976608467434819,0.973402127742803,0.981660881308858,"focal"
1955,"8",0.975345287274041,0.973666885807723,0.976635022546242,"focal"
1955,"9",0.989368156027062,0.988193894160769,0.99053552268631,"other"
1956,"1",0.928370626545242,0.920915355873857,0.932113208756202,"focal"
1956,"2",0.968440687611274,0.966976168881149,0.97387540057531,"other"
1956,"3",0.965196738327724,0.963858136838482,0.966977166490906,"focal"
1956,"4",0.969544936827396,0.966950895573824,0.971104481485587,"other"
1956,"5",0.985279968136501,0.98440668473374,0.987121963593938,"other"
1956,"6",0.978022684923351,0.975564065069413,0.993946843349338,"other"
1956,"7",0.973222980231065,0.968384817782397,0.978814083713588,"focal"
1956,"8",0.971465679243798,0.97002197182514,0.972519393151032,"focal"
1956,"9",0.989650736450643,0.988768839302804,0.99043860859837,"other"
1957,"1",0.916253333561829,0.906679921785792,0.921554360073223,"focal"
1957,"2",0.964968134629651,0.963201937319804,0.969966608051109,"other"
1957,"3",0.956938632686765,0.954885217075339,0.958482583656509,"focal"
1957,"4",0.964849194160249,0.961903634819367,0.966988042194016,"other"
1957,"5",0.988323604371934,0.987270285471603,0.989374582643159,"other"
1957,"6",0.971070138157055,0.967998451790106,0.990070125107395,"other"
1957,"7",0.97060479301963,0.965088844715456,0.977312095209381,"focal"
1957,"8",0.966195938833588,0.963784498418865,0.967560486197701,"focal"
1957,"9",0.987178418520415,0.986256103875487,0.988288165302941,"other"
1958,"1",0.902554289378562,0.88793343951083,0.909456556098927,"focal"
1958,"2",0.952787654372987,0.949674179451911,0.959400241437995,"other"
1958,"3",0.938727880792057,0.936545761543595,0.941804056042452,"focal"
1958,"4",0.946912904039634,0.94367438504779,0.95034391446341,"other"
1958,"5",0.987691501791693,0.986438316931346,0.988788512830596,"other"
1958,"6",0.968135437078287,0.96431350210709,0.990272569523158,"other"
1958,"7",0.964732258648612,0.958300598994709,0.973792063730407,"focal"
1958,"8",0.95122606416728,0.948756184052822,0.9530736187341,"focal"
1958,"9",0.984527312301222,0.983296657010024,0.985685218871403,"other"
1959,"1",0.886535819126987,0.869652848571217,0.894709418204858,"focal"
1959,"2",0.933387186135628,0.925418958918126,0.941564530522996,"other"
