"Summary description","Albacore","Bigeye","Skipjack","Yellowfin"
"WCPFC-CA catch","64480","146560","1806281","719736"
"5-year WCPFC-CA catch trend","Stable","Decreasing","Stable","Increasing"
"WCPFC-CA Longline catch","60545","60872","3497","87227"
"WCPFC-CA Purse seine catch","6","65514","1475630","381359"
"WCPFC-CA Pole and line catch","22","2285","160419","23208"
"WCPFC-CA Other catch","3906","17889","166735","227942"
"","","","",""
"","","","",""
"Catch in GU model regions","87104","7808","28650","18679"
"Percent of WCPFC-CA catch in GU model regions","135.1","5.3","1.6","2.6"
"Catch in GU EEZ","0","0","228","27"
"Percent of WCPFC-CA catch taken in GU EEZ","0","0","0","0"
"Catch by GU flagged in WCPFC-CA","NaN","NaN","NaN","NaN"
"Percent of WCPFC-CA catch by GU flagged vessels","NaN","NaN","NaN","NaN"
