"Summary description","Albacore","Bigeye","Skipjack","Yellowfin"
"WCPFC-CA catch","64480","146560","1806281","719736"
"5-year WCPFC-CA catch trend","Stable","Decreasing","Stable","Increasing"
"WCPFC-CA Longline catch","60545","60872","3497","87227"
"WCPFC-CA Purse seine catch","6","65514","1475630","381359"
"WCPFC-CA Pole and line catch","22","2285","160419","23208"
"WCPFC-CA Other catch","3906","17889","166735","227942"
"","","","",""
"","","","",""
"Catch in KI model regions","15446","76410","1046440","251226"
"Percent of WCPFC-CA catch in KI model regions","24","52.1","57.9","34.9"
"Catch in KI EEZ","1127","19112","328068","59781"
"Percent of WCPFC-CA catch taken in KI EEZ","1.7","13","18.2","8.3"
"Catch by KI flagged in WCPFC-CA","1301","9974","164778","29444"
"Percent of WCPFC-CA catch by KI flagged vessels","2","6.8","9.1","4.1"
