"Summary description","Albacore","Bigeye","Skipjack","Yellowfin"
"WCPFC-CA catch","64480","146560","1806281","719736"
"5-year WCPFC-CA catch trend","Stable","Decreasing","Stable","Increasing"
"WCPFC-CA Longline catch","60545","60872","3497","87227"
"WCPFC-CA Purse seine catch","6","65514","1475630","381359"
"WCPFC-CA Pole and line catch","22","2285","160419","23208"
"WCPFC-CA Other catch","3906","17889","166735","227942"
"Catch in MH model regions","87104","95739","1060123","251098"
"Percent of WCPFC-CA catch in MH model regions","135.1","65.3","58.7","34.9"
"Catch in MH EEZ","135","3653","28619","9191"
"Percent of WCPFC-CA catch taken in MH EEZ","0.2","2.5","1.6","1.3"
"Catch by MH flagged in WCPFC-CA","78","4600","70012","13266"
"Percent of WCPFC-CA catch by MH flagged vessels","0.1","3.1","3.9","1.8"
