gear,yy,flag,fleet,ocean,alb_mt,bet_mt,skj_mt,yft_mt,bum_mt,mls_mt,swo_mt,fal_mt,ocs_mt,mak_mt,bsh_mt
L,2014,NC,  ,SP,1630,58,0,741,0,60,14,0,0,0,0
L,2014,NC,  ,SX,1630,58,0,741,0,60,14,0,0,0,0
L,2014,NC,  ,WP,1630,58,0,741,0,60,14,0,0,0,0
L,2014,NC,  ,WX,1630,58,0,741,23,60,14,1,6,18,91
L,2015,NC,  ,SP,1583,63,6,852,0,58,9,0,0,0,0
L,2015,NC,  ,SX,1583,63,6,852,0,58,9,0,0,0,0
L,2015,NC,  ,WP,1583,63,6,852,0,58,9,0,0,0,0
L,2015,NC,  ,WX,1583,63,6,852,21,58,9,6,2,33,325
L,2016,NC,  ,SP,1747,74,58,482,0,69,8,0,0,0,0
L,2016,NC,  ,SX,1747,74,58,482,0,69,8,0,0,0,0
L,2016,NC,  ,WP,1747,74,58,482,0,69,8,0,0,0,0
L,2016,NC,  ,WX,1747,74,58,482,15,69,8,10,1,1,16
L,2017,NC,  ,SP,1734,48,41,559,0,77,22,0,0,0,0
L,2017,NC,  ,SX,1734,48,41,559,0,77,22,0,0,0,0
L,2017,NC,  ,WP,1734,48,41,559,0,77,22,0,0,0,0
L,2017,NC,  ,WX,1734,48,41,559,34,77,22,10,3,7,7
L,2018,NC,  ,SP,1752,46,15,467,0,52,8,0,0,0,0
L,2018,NC,  ,SX,1752,46,15,467,0,52,8,0,0,0,0
L,2018,NC,  ,WP,1752,46,15,467,0,52,8,0,0,0,0
L,2018,NC,  ,WX,1752,46,15,467,13,52,8,2,3,24,6
L,2019,NC,  ,SP,2011,40,21,678,0,84,24,0,0,0,0
L,2019,NC,  ,SX,2011,40,21,678,0,84,24,0,0,0,0
L,2019,NC,  ,WP,2011,40,21,678,0,84,24,0,0,0,0
L,2019,NC,  ,WX,2011,40,21,678,15,84,24,22.089,45.871,6.694,102.134
L,2020,NC,  ,SP,1897,51,8,512,0,81,9,0,0,0,0
L,2020,NC,  ,SX,1897,51,8,512,0,81,9,0,0,0,0
L,2020,NC,  ,WP,1897,51,8,512,0,81,9,0,0,0,0
L,2020,NC,  ,WX,1897,51,8,512,10,81,9,1.98,1.839,0.277,49.089
L,2021,NC,  ,SP,1774,59,12,624,0,98,10,0,0,0,0
L,2021,NC,  ,SX,1774,59,12,624,0,98,10,0,0,0,0
L,2021,NC,  ,WP,1774,59,12,624,0,98,10,0,0,0,0
L,2021,NC,  ,WX,1774,59,12,624,16,98,10,0.18,0.255,7.984,3.228
L,2022,NC,  ,SP,2158,67,92,588,0,132,13,0,0,0,0
L,2022,NC,  ,SX,2158,67,92,588,0,132,13,0,0,0,0
L,2022,NC,  ,WP,2158,67,92,588,0,132,13,0,0,0,0
L,2022,NC,  ,WX,2158,67,92,588,20,132,13,7.267,10.445,21.921,284.7
