"Summary description","Albacore","Bigeye","Skipjack","Yellowfin"
"WCPFC-CA catch","64480","146560","1806281","719736"
"5-year WCPFC-CA catch trend","Stable","Decreasing","Stable","Increasing"
"WCPFC-CA Longline catch","60545","60872","3497","87227"
"WCPFC-CA Purse seine catch","6","65514","1475630","381359"
"WCPFC-CA Pole and line catch","22","2285","160419","23208"
"WCPFC-CA Other catch","3906","17889","166735","227942"
"","","","",""
"","","","",""
"Catch in NC model regions","8458","4103","716551","18807"
"Percent of WCPFC-CA catch in NC model regions","13.1","2.8","39.7","2.6"
"Catch in NC EEZ","1917","53","30","574"
"Percent of WCPFC-CA catch taken in NC EEZ","3","0","0","0.1"
"Percent of Catch in NC model regions taken in NC EEZ","22.7","1.3","0","3.1"
"Catch by NC flagged in WCPFC-CA","1918","53","30","574"
"Percent of WCPFC-CA catch by NC flagged vessels","3","0","0","0.1"
