"Summary description","Albacore","Bigeye","Skipjack","Yellowfin"
"WCPFC-CA catch","64480","146560","1806281","719736"
"5-year WCPFC-CA catch trend","Stable","Decreasing","Stable","Increasing"
"WCPFC-CA Longline catch","60545","60872","3497","87227"
"WCPFC-CA Purse seine catch","6","65514","1475630","381359"
"WCPFC-CA Pole and line catch","22","2285","160419","23208"
"WCPFC-CA Other catch","3906","17889","166735","227942"
"","","","",""
"","","","",""
"Catch in PF model regions","28935","2733","530073","18807"
"Percent of WCPFC-CA catch in PF model regions","44.9","1.9","29.3","2.6"
"Catch in PF EEZ","3446","1079","426","2411"
"Percent of WCPFC-CA catch taken in PF EEZ","5.3","0.7","0","0.3"
"Percent of Catch in PF model regions taken in PF EEZ","11.9","39.5","0.1","12.8"
"Catch by PF flagged in WCPFC-CA","3446","1079","426","2411"
"Percent of WCPFC-CA catch by PF flagged vessels","5.3","0.7","0","0.3"
