"Summary description","Albacore","Bigeye","Skipjack","Yellowfin"
"WCPFC-CA catch","64480","146560","1806281","719736"
"5-year WCPFC-CA catch trend","Stable","Decreasing","Stable","Increasing"
"WCPFC-CA Longline catch","60545","60872","3497","87227"
"WCPFC-CA Purse seine catch","6","65514","1475630","381359"
"WCPFC-CA Pole and line catch","22","2285","160419","23208"
"WCPFC-CA Other catch","3906","17889","166735","227942"
"","","","",""
"","","","",""
"Catch in PG model regions","15446","34673","716551","358532"
"Percent of WCPFC-CA catch in PG model regions","24","23.7","39.7","49.8"
"Catch in PG EEZ","1413","9306","336270","138433"
"Percent of WCPFC-CA catch taken in PG EEZ","2.2","6.3","18.6","19.2"
"Percent of Catch in PG model regions taken in PG EEZ","9.1","26.8","46.9","38.6"
"Catch by PG flagged in WCPFC-CA","230","3896","146300","76879"
"Percent of WCPFC-CA catch by PG flagged vessels","0.4","2.7","8.1","10.7"
