"Summary description","Albacore","Bigeye","Skipjack","Yellowfin"
"WCPFC-CA catch","64480","146560","1806281","719736"
"5-year WCPFC-CA catch trend","Stable","Decreasing","Stable","Increasing"
"WCPFC-CA Longline catch","60545","60872","3497","87227"
"WCPFC-CA Purse seine catch","6","65514","1475630","381359"
"WCPFC-CA Pole and line catch","22","2285","160419","23208"
"WCPFC-CA Other catch","3906","17889","166735","227942"
"","","","",""
"","","","",""
"Catch in PW model regions","87104","30846","468399","326074"
"Percent of WCPFC-CA catch in PW model regions","135.1","21","25.9","45.3"
"Catch in PW EEZ","25","1141","1163","1482"
"Percent of WCPFC-CA catch taken in PW EEZ","0","0.8","0.1","0.2"
"Percent of Catch in PW model regions taken in PW EEZ","0","3.7","0.2","0.5"
"Catch by PW flagged in WCPFC-CA","12","467","2","884"
"Percent of WCPFC-CA catch by PW flagged vessels","0","0.3","0","0.1"
