"Summary description","Albacore","Bigeye","Skipjack","Yellowfin"
"WCPFC-CA catch","64480","146560","1806281","719736"
"5-year WCPFC-CA catch trend","Stable","Decreasing","Stable","Increasing"
"WCPFC-CA Longline catch","60545","60872","3497","87227"
"WCPFC-CA Purse seine catch","6","65514","1475630","381359"
"WCPFC-CA Pole and line catch","22","2285","160419","23208"
"WCPFC-CA Other catch","3906","17889","166735","227942"
"","","","",""
"","","","",""
"Catch in SB model regions","15446","80152","1246623","358532"
"Percent of WCPFC-CA catch in SB model regions","24","54.7","69","49.8"
"Catch in SB EEZ","4528","3444","73303","29314"
"Percent of WCPFC-CA catch taken in SB EEZ","7","2.4","4.1","4.1"
"Catch by SB flagged in WCPFC-CA","2176","1370","30352","19229"
"Percent of WCPFC-CA catch by SB flagged vessels","3.4","0.9","1.7","2.7"
