"Summary description","Albacore","Bigeye","Skipjack","Yellowfin"
"WCPFC-CA catch","64480","146560","1806281","719736"
"5-year WCPFC-CA catch trend","Stable","Decreasing","Stable","Increasing"
"WCPFC-CA Longline catch","60545","60872","3497","87227"
"WCPFC-CA Purse seine catch","6","65514","1475630","381359"
"WCPFC-CA Pole and line catch","22","2285","160419","23208"
"WCPFC-CA Other catch","3906","17889","166735","227942"
"Catch in TK model regions","15446","48212","530073","251226"
"Percent of WCPFC-CA catch in TK model regions","24","32.9","29.3","34.9"
"Catch in TK EEZ","1175","603","12417","1726"
"Percent of WCPFC-CA catch taken in TK EEZ","1.8","0.4","0.7","0.2"
"Catch by TK flagged in WCPFC-CA","0","1","26","22"
"Percent of WCPFC-CA catch by TK flagged vessels","0","0","0","0"
