gear,yy,flag,fleet,ocean,alb_mt,bet_mt,skj_mt,yft_mt,bum_mt,mls_mt,swo_mt,fal_mt,ocs_mt,mak_mt,bsh_mt
L,2014,TO,  ,SP,25,22,8,195,0,12,37,0,0,0,0
L,2014,TO,  ,SX,25,22,8,195,0,12,37,0,0,0,0
L,2014,TO,  ,WP,25,22,8,195,0,12,37,0,0,0,0
L,2014,TO,  ,WX,25,22,8,195,13,12,37,0,0,8,0
L,2015,TO,  ,SP,29,25,6,297,0,30,42,0,0,0,0
L,2015,TO,  ,SX,29,25,6,297,0,30,42,0,0,0,0
L,2015,TO,  ,WP,29,25,6,297,0,30,42,0,0,0,0
L,2015,TO,  ,WX,29,25,6,297,23,30,42,0,0,20,0
L,2016,TO,  ,SP,42,27,6,325,0,12,39,0,0,0,0
L,2016,TO,  ,SX,42,27,6,325,0,12,39,0,0,0,0
L,2016,TO,  ,WP,42,27,6,325,0,12,39,0,0,0,0
L,2016,TO,  ,WX,42,27,6,325,43,12,39,1,0,20,4
L,2017,TO,  ,SP,26,24,12,373,0,2,32,0,0,0,0
L,2017,TO,  ,SX,26,24,12,373,0,2,32,0,0,0,0
L,2017,TO,  ,WP,26,24,12,373,0,2,32,0,0,0,0
L,2017,TO,  ,WX,26,24,12,373,39,2,32,0,0,14,0
L,2018,TO,  ,SP,23,34,4,201,0,11,44,0,0,0,0
L,2018,TO,  ,SX,23,34,4,201,0,11,44,0,0,0,0
L,2018,TO,  ,WP,23,34,4,201,0,11,44,0,0,0,0
L,2018,TO,  ,WX,23,34,4,201,17,11,44,0,2.782,35.018,1.296
L,2019,TO,  ,SP,29,16,2,186,0,14,33,0,0,0,0
L,2019,TO,  ,SX,29,16,2,186,0,14,33,0,0,0,0
L,2019,TO,  ,WP,29,16,2,186,0,14,33,0,0,0,0
L,2019,TO,  ,WX,29,16,2,186,47,14,33,0.398,0.098,11.321,2.391
L,2020,TO,  ,SP,13,10,3,156,0,4,16,0,0,0,0
L,2020,TO,  ,SX,13,10,3,156,0,4,16,0,0,0,0
L,2020,TO,  ,WP,13,10,3,156,0,4,16,0,0,0,0
L,2020,TO,  ,WX,13,10,3,156,21,4,16,0.934,0.104,5.839,0.123
L,2021,TO,  ,SP,10,15,2,208,0,11,9,0,0,0,0
L,2021,TO,  ,SX,10,15,2,208,0,11,9,0,0,0,0
L,2021,TO,  ,WP,10,15,2,208,0,11,9,0,0,0,0
L,2021,TO,  ,WX,10,15,2,208,42,11,9,0.281,0.363,2.203,0.186
L,2022,TO,  ,SP,52,24,2,215,0,19,11,0,0,0,0
L,2022,TO,  ,SX,52,24,2,215,0,19,11,0,0,0,0
L,2022,TO,  ,WP,52,24,2,215,0,19,11,0,0,0,0
L,2022,TO,  ,WX,52,24,2,215,45,19,11,4.781,4.54,6.093,5.513
T,2022,TO,  ,SP,0,11,48,33,0,0,0,0,0,0,0
T,2022,TO,  ,WP,0,11,48,33,0,0,0,0,0,0,0
T,2022,TO,  ,WX,0,11,48,33,0,0,0,0,0,0,0
