"Summary description","Albacore","Bigeye","Skipjack","Yellowfin"
"WCPFC-CA catch","64480","146560","1806281","719736"
"5-year WCPFC-CA catch trend","Stable","Decreasing","Stable","Increasing"
"WCPFC-CA Longline catch","60545","60872","3497","87227"
"WCPFC-CA Purse seine catch","6","65514","1475630","381359"
"WCPFC-CA Pole and line catch","22","2285","160419","23208"
"WCPFC-CA Other catch","3906","17889","166735","227942"
"","","","",""
"","","","",""
"Catch in TO model regions","8458","2733","530073","18807"
"Percent of WCPFC-CA catch in TO model regions","13.1","1.9","29.3","2.6"
"Catch in TO EEZ","935","101","47","805"
"Percent of WCPFC-CA catch taken in TO EEZ","1.4","0.1","0","0.1"
"Catch by TO flagged in WCPFC-CA","25","22","12","200"
"Percent of WCPFC-CA catch by TO flagged vessels","0","0","0","0"
