"Summary description","Albacore","Bigeye","Skipjack","Yellowfin"
"WCPFC-CA catch","64480","146560","1806281","719736"
"5-year WCPFC-CA catch trend","Stable","Decreasing","Stable","Increasing"
"WCPFC-CA Longline catch","60545","60872","3497","87227"
"WCPFC-CA Purse seine catch","6","65514","1475630","381359"
"WCPFC-CA Pole and line catch","22","2285","160419","23208"
"WCPFC-CA Other catch","3906","17889","166735","227942"
"Catch in VU model regions","6773","4103","1046440","18807"
"Percent of WCPFC-CA catch in VU model regions","10.5","2.8","57.9","2.6"
"Catch in VU EEZ","3859","199","200","1082"
"Percent of WCPFC-CA catch taken in VU EEZ","6","0.1","0","0.2"
"Catch by VU flagged in WCPFC-CA","5736","3896","33018","8259"
"Percent of WCPFC-CA catch by VU flagged vessels","8.9","2.7","1.8","1.1"
